indicator,Indicator 06: Enrolments by race group,,,,,,,,,,,,,
title,Enrolments by race group,,,,,,,,,,,,,
type,bar,(line/bar),,,,,,,,,,,,
yaxistitle,Percentage,,,,,,,,,,,,,
xaxisvalues,"2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012",,,,,,,,,,,,,
refinedindicator,"African,Coloured,Indian,White",,,,,,,,,,,,,
data,,,,,,,,,,,,,,
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
CPUT,African,43%,43%,43%,45%,45%,46%,46%,47%,48%,49%,51%,52%,56%
CPUT,Coloured ,30%,30%,31%,31%,31%,31%,32%,32%,33%,34%,33%,32%,29%
CPUT,Indian,2%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
CPUT,White,25%,26%,25%,23%,23%,22%,21%,19%,18%,16%,15%,14%,14%
CUT,African,59%,62%,66%,72%,78%,77%,79%,79%,81%,83%,84%,85%,86%
CUT,Coloured ,5%,6%,6%,5%,4%,4%,4%,4%,4%,4%,4%,4%,4%
CUT,Indian,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
CUT,White,35%,32%,28%,23%,18%,18%,17%,17%,15%,13%,12%,11%,10%
DUT,African,64%,64%,65%,69%,70%,72%,73%,74%,75%,76%,77%,78%,80%
DUT,Coloured ,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%
DUT,Indian,24%,24%,24%,22%,21%,20%,20%,19%,19%,18%,17%,16%,14%
DUT,White,10%,10%,9%,8%,7%,7%,6%,6%,5%,5%,4%,4%,4%
MUT,African,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
MUT,Coloured ,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
MUT,Indian,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
MUT,White,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
NMMU,African,75%,76%,73%,64%,63%,60%,60%,61%,59%,61%,60%,60%,61%
NMMU,Coloured ,6%,6%,7%,10%,11%,12%,12%,12%,13%,14%,14%,14%,14%
NMMU,Indian,1%,1%,1%,2%,2%,2%,3%,3%,3%,2%,2%,1%,1%
NMMU,White,17%,17%,18%,24%,24%,26%,25%,25%,25%,23%,24%,25%,24%
NWU,African,55%,59%,64%,63%,64%,61%,58%,59%,59%,59%,65%,64%,64%
NWU,Coloured ,2%,2%,3%,3%,3%,3%,3%,3%,3%,4%,4%,4%,5%
NWU,Indian,1%,1%,1%,1%,1%,1%,2%,2%,1%,1%,1%,1%,1%
NWU,White,42%,38%,33%,33%,32%,35%,37%,36%,36%,36%,30%,31%,30%
Rhodes,African,36%,37%,45%,44%,42%,44%,41%,42%,46%,50%,50%,52%,52%
Rhodes,Coloured ,4%,5%,5%,6%,5%,4%,4%,4%,4%,3%,4%,4%,4%
Rhodes,Indian,9%,8%,6%,6%,7%,6%,6%,5%,5%,4%,4%,4%,4%
Rhodes,White,51%,50%,44%,44%,47%,46%,49%,49%,45%,43%,42%,40%,40%
Stellenbosch,African,15%,15%,15%,13%,12%,12%,11%,12%,13%,13%,14%,14%,15%
Stellenbosch,Coloured ,10%,10%,11%,12%,13%,14%,15%,15%,16%,17%,16%,16%,15%
Stellenbosch,Indian,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%
Stellenbosch,White,72%,73%,72%,73%,73%,72%,72%,71%,69%,68%,68%,68%,68%
TUT,African,83%,84%,84%,85%,86%,86%,85%,86%,88%,89%,90%,91%,92%
TUT,Coloured ,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
TUT,Indian,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,0%,0%
TUT,White,16%,15%,14%,13%,12%,12%,13%,12%,10%,9%,8%,8%,7%
UCT,African,27%,27%,27%,27%,28%,28%,30%,30%,31%,32%,32%,33%,33%
UCT,Coloured ,13%,14%,14%,14%,14%,14%,14%,15%,16%,17%,17%,17%,17%
UCT,Indian,7%,7%,7%,7%,8%,8%,9%,9%,9%,8%,8%,8%,8%
UCT,White,53%,52%,52%,52%,50%,50%,47%,46%,44%,42%,43%,43%,43%
Fort Hare,African,99%,99%,99%,99%,90%,91%,91%,92%,93%,93%,94%,94%,95%
Fort Hare,Coloured ,0%,0%,0%,0%,2%,2%,2%,2%,2%,2%,2%,2%,2%
Fort Hare,Indian,0%,0%,0%,0%,1%,1%,1%,1%,1%,1%,1%,1%,0%
Fort Hare,White,0%,0%,0%,0%,7%,7%,6%,6%,5%,4%,4%,3%,3%
UFS,African,40%,41%,49%,56%,57%,54%,52%,53%,57%,58%,62%,64%,66%
UFS,Coloured ,4%,4%,4%,4%,5%,5%,6%,6%,6%,6%,5%,5%,5%
UFS,Indian,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,1%,1%
UFS,White,55%,53%,45%,38%,35%,38%,39%,39%,35%,34%,32%,30%,28%
UJ,African,56%,55%,55%,57%,63%,64%,65%,66%,69%,73%,74%,77%,79%
