indicator,Indicator 08: Success rates,,,,,,,,,,,,,
title,Success rates 2000-2012,,,,,,,,,,,,,
type,line,(line/bar),,,,,,,,,,,,
yaxistitle,Percentage,,,,,,,,,,,,,
xaxisvalues,"2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012",,,,,,,,,,,,,
refinedindicator,,,,,,,,,,,,,,
data,,,,,,,,,,,,,,
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
CPUT,,73%,74%,75%,76%,76%,75%,75%,77%,78%,79%,78%,79%,77%
CUT,,67%,67%,70%,71%,69%,74%,74%,75%,75%,72%,74%,76%,77%
DUT,,73%,73%,72%,71%,73%,74%,75%,75%,76%,76%,75%,78%,79%
MUT,,75%,73%,73%,73%,75%,79%,81%,82%,78%,78%,78%,80%,79%
NMMU,,71%,70%,71%,74%,73%,73%,72%,73%,74%,72%,75%,76%,78%
NWU,,76%,70%,73%,72%,78%,77%,78%,75%,81%,83%,83%,84%,84%
Rhodes,,83%,84%,80%,85%,85%,86%,86%,84%,84%,82%,84%,83%,85%
Stellenbosch,,77%,77%,78%,78%,76%,76%,80%,82%,84%,84%,83%,83%,85%
TUT,,65%,63%,66%,65%,64%,67%,70%,71%,72%,71%,70%,72%,74%
UCT,,80%,79%,79%,82%,83%,85%,85%,84%,84%,84%,84%,83%,86%
Fort Hare,,52%,65%,60%,68%,63%,76%,74%,74%,75%,77%,78%,78%,76%
UFS,,75%,79%,75%,68%,68%,70%,72%,71%,72%,72%,72%,73%,74%
UJ,,73%,73%,75%,75%,75%,75%,75%,77%,77%,75%,78%,79%,82%
UKZN,,75%,69%,75%,76%,73%,73%,75%,74%,77%,75%,75%,79%,79%
UL,,73%,74%,69%,73%,81%,75%,79%,82%,75%,80%,79%,80%,82%
UP,,76%,75%,77%,79%,80%,82%,81%,81%,81%,80%,80%,79%,80%
Unisa,,51%,52%,54%,52%,52%,53%,51%,54%,55%,60%,62%,66%,66%
UV,,72%,75%,70%,78%,75%,77%,74%,75%,77%,78%,79%,82%,84%
UWC,,73%,73%,69%,66%,76%,79%,77%,77%,78%,78%,78%,79%,80%
Wits,,79%,78%,78%,77%,78%,80%,79%,78%,80%,77%,80%,83%,82%
UZ,,79%,77%,76%,75%,72%,71%,70%,76%,77%,75%,79%,77%,81%
VUT,,68%,70%,68%,74%,68%,70%,70%,73%,73%,74%,74%,73%,73%
WSU,,66%,68%,67%,68%,69%,68%,69%,68%,70%,72%,68%,73%,78%
additionaldata,,,,,,,,,,,,,,
National target,,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%
EOF,,,,,,,,,,,,,,
